ID,name_ru,Slug,category,gender,concentration,country,images,description_ru,is_active,brand,old_url
309,Aedes de Venustas Paissandre d'Or 10ml edp,aedes-de-venustas-palissandre-dor-210ml-edp,3,унисекс,нишевая парфюмерия,Франция,https://100aromatov.by/assets/images/products/309/a9dbb81eb784e94a8b6a290ffbcc2897.jpg,"<p style=""font-size: 14px; font-style: normal; color: #000000;""><span class=""title""><span style=""text-align: justify;""><br /><strong>Palissandre d`Or Aedes de Venustas</strong> — это аромат для мужчин и женщин, он принадлежит к группе древесные пряные. </span></span></p>
<p style=""font-size: 14px; font-style: normal; color: #000000;""><span class=""title""><span style=""text-align: justify;""><strong>Palissandre d`Or</strong> выпущен в 2015 году. </span></span></p>
<p style=""font-size: 14px; font-style: normal; color: #000000;""><span class=""title""><span style=""text-align: justify;"">Верхние ноты: Амбретта, Кориандр, Корица, Мускатный орех и Розовый перец; средние ноты: Палисандр, Пачули и Копайский бальзам; базовые ноты: Кедр из Вирджинии, Белый кедр и Амброксан.</span></span></p>",1,43,/parfyumeriya/aedes-de-venustas/aedes-de-venustas-palissandre-dor-210ml-edp.html
310,Aedes de Venustas Oeillet Bengale 10ml,aedes-de-venustas-oeillet-bengale-310ml-edp,3,унисекс,нишевая парфюмерия,Франция,https://100aromatov.by/assets/images/products/310/61gegjd7el.-sl1000.jpg|https://100aromatov.by/assets/images/products/310/1-75-1.jpg,"<p style=""font-size: 14px; font-style: normal; color: #000000;""><br /><strong>Oeillet Bengale Aedes de Venustas</strong> - это аромат для мужчин и женщин.</p>
<p style=""font-size: 14px; font-style: normal; color: #000000;"">Ноты: бергамот, черный перец, корица, кардамон, пряная гвоздика, шафран, куркума, имбирь, цветок гвоздики, роза, иланг-иланг, толуанский бальзам, ваниль, бензоин, лабданум.</p>",1,43,/parfyumeriya/aedes-de-venustas/aedes-de-venustas-oeillet-bengale-310ml-edp.html
